,client_id
0,47367
1,50231
2,13008
3,13586
4,44452
5,31903
6,37807
7,47826
8,47224
9,44277
10,22466
11,43930
12,29003
13,29001
14,28540
15,21446
16,40421
17,49296
18,13835
19,42678
20,40201
21,15637
22,44622
23,40815
24,13437
25,45512
26,46219
27,18064
28,40456
29,44111
30,20240
31,21795
32,38631
33,12993
34,15550
35,40492
36,23266
37,43640
38,15764
39,15764
40,15423
41,17477
42,41288
43,16632
44,47257
45,14214
46,20241
47,27796
48,44720
49,27440
50,16883
51,20214
52,14624
53,43362
54,45604
55,40568
56,19895
57,48995
58,25277
59,46175
60,40863
61,41152
62,30212
63,23418
64,20658
65,17572
66,38348
67,23169
68,45098
69,27078
70,32041
71,11088
72,11727
73,40455
74,31644
75,15562
76,46486
77,38334
78,27308
79,13263
80,23637
81,23681
82,23959
83,24109
84,48170
85,45324
86,16759
87,14230
88,44452
89,24411
90,25956
91,16052
92,16052
93,16052
94,16052
95,16052
96,16052
97,16052
98,44822
99,14106
100,41247
101,16750
102,43596
103,40285
104,46356
105,43320
106,44716
107,46907
108,26054
109,10616
110,17379
111,27304
112,15830
113,38384
114,47952
115,50699
116,16216
117,40782
118,19584
119,42965
120,19809
121,19965
122,19965
123,14292
124,19881
125,12495
126,12495
127,44687
128,13453
129,40721
130,42673
131,20931
132,18458
133,14340
134,15115
135,38529
136,10006
137,14064
138,15691
139,16695
140,20695
141,41062
142,16345
143,21977
144,11665
145,19611
146,24531
147,18990
148,50500
149,19388
150,19899
151,17337
152,40206
153,46975
154,14383
155,45441
156,40776
157,13124
158,15822
159,38742
160,14723
161,11050
162,16211
163,16003
164,20054
165,19416
166,38674
167,23686
168,39737
169,31870
170,39962
171,28384
172,43330
173,17195
174,23335
175,46606
176,20092
177,20575
178,17413
179,13789
180,22280
181,13059
182,10035
183,17381
184,24876
185,21693
186,41094
187,14743
188,12827
189,16800
190,16082
191,39068
192,12408
193,26297
194,37309
195,46645
196,21472
197,40252
198,26033
199,20947
200,13863
201,12475
202,21113
203,10034
204,41099
205,16068
206,14305
207,10537
208,11685
209,38718
210,11766
211,23384
212,29816
213,22497
214,22125
