"id_origem","client_id","client_id_dest","primeira_compra_boleto","ultima_compra_boleto","tot_compra_boleto","n_compra_boleto","boleto_from0to30","boleto_from30to60","boleto_from60to90","boleto_from90to120","boleto_from120to150","boleto_from150to180","boleto_from180mais","boleto_n_from0to30","boleto_n_from30to60","boleto_n_from60to90","boleto_n_from90to120","boleto_n_from120to150","boleto_n_from150to180","boleto_n_from180mais","primeira_compra_ted","ultima_compra_ted","tot_compra_ted","n_compra_ted","ted_from0to30","ted_from30to60","ted_from60to90","ted_from90to120","ted_from120to150","ted_from150to180","ted_from180mais","ted_n_from0to30","ted_n_from30to60","ted_n_from60to90","ted_n_from90to120","ted_n_from120to150","ted_n_from150to180","ted_n_from180mais","primeira_compra","ultima_compra","tot_compra","n_compra","blu_from0to30","blu_from30to60","blu_from60to90","blu_from90to120","blu_from120to150","blu_from150to180","blu_from180mais","blu_n_from0to30","blu_n_from30to60","blu_n_from60to90","blu_n_from90to120","blu_n_from120to150","blu_n_from150to180","blu_n_from180mais","total_balance","total_balance_rede","future_balance","future_balance_rede","current_balance","current_balance_rede","vendas_from0to30","vendas_from30to60","vendas_from60to90","vendas_from90to120","vendas_from120to150","vendas_from150to180","vendas_from180mais","vendas_n_from0to30","vendas_n_from30to60","vendas_n_from60to90","vendas_n_from90to120","vendas_n_from120to150","vendas_n_from150to180","vendas_n_from180mais","cpf_cnpj_loja","data_ganho"
16053,16053,13933,2019-12-25 11:54:33,2020-08-03 09:28:44,5218.66,9,970,308,0,425,0,0,3515.66,970,308,0,425,0,0,3515.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248659.57,248659.57,218175.56682,218175.56682,30484.01777,30484.01777,145124.48,51824.8,80614.1,31730.89,19312,18526.88,786584.36,1236,471,789,300,195,206,7744,"28695696000137",2017-10-28
16053,16053,15919,2020-08-03 09:34:12,2020-08-03 09:34:12,2720,1,2720,0,0,0,0,0,0,2720,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248659.57,248659.57,218175.56682,218175.56682,30484.01777,30484.01777,145124.48,51824.8,80614.1,31730.89,19312,18526.88,786584.36,1236,471,789,300,195,206,7744,"28695696000137",2017-10-28
14053,14053,30544,2019-12-18 17:15:32,2020-08-02 15:10:33,11638.35,16,7406.19,1906.72,1948.45,0,0,0,376.99,7406.19,1906.72,1948.45,0,0,0,376.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15158.06,15158.06,13869.8488,13869.8488,1288.22446,1288.22774,38749.99,52789.97,21453.49,9202.65,6299.4,2945,131257.64,381,546,232,52,56,53,1376,"12073085000117",2017-09-09
43898,43898,11941,2020-07-30 15:51:39,2020-08-01 11:39:20,1006.5,2,1006.5,0,0,0,0,0,0,1006.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2377.41,2377.41,2153.06,2153.06,224.35285,224.35285,10713,0,0,789,3128.5,53.01,0,37,0,0,16,27,2,0,"27987145000184",2020-03-04
49165,49165,14853,2020-07-31 20:25:03,2020-07-31 20:25:03,283.21,1,283.21,0,0,0,0,0,0,283.21,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4738.83,4738.83,3817.22,3817.22,921.61193,921.61193,6461.3,0,0,0,0,0,0,55,0,0,0,0,0,0,"35289588000120",2020-07-21
41965,41965,49341,2020-04-25 15:24:26,2020-07-31 19:04:55,12368.49,6,2349.28,4481.5,2439,3098.71,0,0,0,2349.28,4481.5,2439,3098.71,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26918.07,26918.07,24252.12901,24252.12901,2665.9508,2665.9508,40442,47198,42708,18469,12404,16255.65,6299.07,236,338,329,126,107,173,29,"08011789000198",2020-01-30
10479,13155,43778,2020-06-12 17:52:51,2020-07-31 18:09:34,1362.5,3,746,616.5,0,0,0,0,0,746,616.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81322.1,225408.93,67823.33,173414.6789,13498.77552,51994.2728,38935,44907,25028,31577,11714,18344,898870.89,190,177,220,135,48,102,4688,"11147189000166",2016-10-01
10479,13155,21995,2020-06-12 17:52:51,2020-07-31 18:09:34,1362.5,3,746,616.5,0,0,0,0,0,746,616.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81322.1,225408.93,67823.33,173414.6789,13498.77552,51994.2728,38935,44907,25028,31577,11714,18344,898870.89,190,177,220,135,48,102,4688,"11147189000166",2016-10-01
34469,34469,29634,2020-07-31 15:25:05,2020-07-31 15:25:05,583.33,1,583.33,0,0,0,0,0,0,583.33,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20536.68,0,4995.13,0,15541.55921,7292,38285,0,168,5099,8192,120269,47,168,0,1,29,28,509,"33516596000136",2019-07-23
26896,26896,22075,2019-06-12 11:21:07,2020-07-31 13:30:41,20199.22,11,5275.55,0,0,0,0,0,14923.67,5275.55,0,0,0,0,0,14923.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24410.93,24410.93,20446.79,20446.79,3964.14321,3964.14321,13061.9,7590,10098.99,499,4229,6792,64633.56,89,58,72,1,29,38,521,"19092940000186",2019-03-27
