client_id,department_id,first_sell,last_sell,total_sell,first_buy,last_buy,total_buy,n_forns,n_buys,first_true_sell,time_in_churn,time_in_blu_months,time_in_blu_days,loyal_date,time_to_loyal,churn,earl_churn,ativated_at
48356,45,2020-07-02 14:38:33.000000,2020-07-09 18:21:11.000000,701.6,2020-07-10 14:19:52.775971,2020-07-13 18:51:58.010777,-685.23,1.0,3.0,2020-07-09 00:00:00.000000,38,0.0,0.0,2020-07-09 00:00:00.000000,6.0,1,1,2020-07-08 10:42:13.000000
46664,36,2020-06-10 15:43:32.000000,2020-08-14 19:15:46.000000,22328.6,2020-06-22 17:41:01.515081,2020-07-23 20:50:21.285610,-2838.4,1.0,5.0,2020-06-16 00:00:00.000000,2,2.0,59.0,2020-06-16 00:00:00.000000,5.0,0,0,2020-06-22 12:47:24.000000
48763,9,2020-07-08 19:28:53.000000,2020-07-13 23:07:05.000000,1.6,,,,,,,34,,,,,1,0,2020-07-16 02:28:51.000000
19329,45,2018-04-20 20:11:25.000000,2019-07-17 20:51:14.000000,167982.82,,,,,,2018-04-20 00:00:00.000000,396,15.0,453.0,2018-04-30 00:00:00.000000,9.0,1,0,2018-04-09 13:50:52.000000
41123,9,2019-11-22 21:15:58.000000,2020-08-15 18:59:01.000000,52392.97,2020-05-14 20:10:36.479736,2020-08-17 15:59:41.002168,-30921.3,6.0,10.0,2020-03-22 00:00:00.000000,1,5.0,146.0,2020-03-22 00:00:00.000000,120.0,0,0,2019-12-10 17:24:07.000000
17481,9,2018-01-18 18:07:11.000000,2020-08-14 13:53:03.000000,106489.39,2018-03-06 10:18:56.292127,2020-08-06 10:44:39.587167,-66964.53,8.0,17.0,2018-01-18 00:00:00.000000,3,31.0,939.0,2018-01-22 00:00:00.000000,3.0,0,0,
44503,45,2020-03-04 20:26:14.000000,2020-08-15 12:39:00.000000,92562.28,2020-03-20 16:48:58.308901,2020-05-27 20:21:06.255103,-14671.42,4.0,4.0,2020-03-26 00:00:00.000000,2,5.0,142.0,2020-04-07 00:00:00.000000,33.0,0,0,2020-03-20 17:00:06.000000
49985,45,2020-07-22 20:54:44.000000,2020-08-15 19:55:56.000000,1648.4,,,,,,2020-08-01 00:00:00.000000,1,0.0,14.0,2020-08-04 00:00:00.000000,12.0,0,0,
27682,9,2019-03-19 19:05:29.000000,2020-01-05 18:36:53.000000,5005.0,,,,,,2019-04-02 00:00:00.000000,224,9.0,278.0,2019-04-02 00:00:00.000000,13.0,1,0,
22799,9,2018-09-06 21:04:38.000000,2020-08-15 14:45:20.000000,129136.1,2018-09-26 19:11:10.642988,2020-08-04 19:30:17.447070,-39767.65,2.0,17.0,2018-09-08 00:00:00.000000,2,24.0,707.0,2018-09-08 00:00:00.000000,1.0,0,0,2018-09-10 17:33:22.000000
