,client_id,zendesk_calls
0,40371,https://useblu.zendesk.com/agent/tickets/468575.0
1,43955,https://useblu.zendesk.com/agent/tickets/468576.0
2,30806,https://useblu.zendesk.com/agent/tickets/468578.0
3,40236,https://useblu.zendesk.com/agent/tickets/468579.0
4,44098,https://useblu.zendesk.com/agent/tickets/468583.0
5,11867,https://useblu.zendesk.com/agent/tickets/468584.0
11,12400,https://useblu.zendesk.com/agent/tickets/468591.0
13,14865,https://useblu.zendesk.com/agent/tickets/468593.0
14,21181,https://useblu.zendesk.com/agent/tickets/468594.0
25,43362,https://useblu.zendesk.com/agent/tickets/468415.0
32,16310,https://useblu.zendesk.com/agent/tickets/461785.0
35,23913,https://useblu.zendesk.com/agent/tickets/468458.0
40,27786,https://useblu.zendesk.com/agent/tickets/468500.0
44,21720,https://useblu.zendesk.com/agent/tickets/468506.0
45,42610,https://useblu.zendesk.com/agent/tickets/468511.0
46,30031,https://useblu.zendesk.com/agent/tickets/468512.0
56,21186,https://useblu.zendesk.com/agent/tickets/468551.0
57,21541,https://useblu.zendesk.com/agent/tickets/468552.0
58,39193,https://useblu.zendesk.com/agent/tickets/468568.0
61,45588,https://useblu.zendesk.com/agent/tickets/468582.0
64,11640,https://useblu.zendesk.com/agent/tickets/468614.0
68,38701,https://useblu.zendesk.com/agent/tickets/468629.0
69,30724,https://useblu.zendesk.com/agent/tickets/468631.0
70,40383,https://useblu.zendesk.com/agent/tickets/468633.0
78,17195,https://useblu.zendesk.com/agent/tickets/468707.0
79,20014,https://useblu.zendesk.com/agent/tickets/468708.0
86,21917,https://useblu.zendesk.com/agent/tickets/468732.0
101,28508,https://useblu.zendesk.com/agent/tickets/468618.0
102,16918,https://useblu.zendesk.com/agent/tickets/468749.0
228,13230,https://useblu.zendesk.com/agent/tickets/468546.0
233,21573,https://useblu.zendesk.com/agent/tickets/468553.0
243,38419,https://useblu.zendesk.com/agent/tickets/468563.0
245,43453,https://useblu.zendesk.com/agent/tickets/468565.0
253,44277,https://useblu.zendesk.com/agent/tickets/468621.0
254,21754,https://useblu.zendesk.com/agent/tickets/468622.0
256,38071,https://useblu.zendesk.com/agent/tickets/468624.0
258,17719,https://useblu.zendesk.com/agent/tickets/461792.0
262,22044,https://useblu.zendesk.com/agent/tickets/468630.0
264,39068,https://useblu.zendesk.com/agent/tickets/468634.0
267,15710,https://useblu.zendesk.com/agent/tickets/468638.0
273,43523,https://useblu.zendesk.com/agent/tickets/468644.0
277,18838,https://useblu.zendesk.com/agent/tickets/461796.0
278,12475,https://useblu.zendesk.com/agent/tickets/461797.0
279,17381,https://useblu.zendesk.com/agent/tickets/461798.0
281,13388,https://useblu.zendesk.com/agent/tickets/461800.0
282,20975,https://useblu.zendesk.com/agent/tickets/468647.0
292,14569,https://useblu.zendesk.com/agent/tickets/468659.0
295,18545,https://useblu.zendesk.com/agent/tickets/468662.0
299,45915,https://useblu.zendesk.com/agent/tickets/468667.0
313,14383,https://useblu.zendesk.com/agent/tickets/468683.0
320,40900,https://useblu.zendesk.com/agent/tickets/468690.0
322,18395,https://useblu.zendesk.com/agent/tickets/468692.0
323,22101,https://useblu.zendesk.com/agent/tickets/468693.0
334,44687,https://useblu.zendesk.com/agent/tickets/468713.0
337,15115,https://useblu.zendesk.com/agent/tickets/468718.0
338,39544,https://useblu.zendesk.com/agent/tickets/468721.0
340,47968,https://useblu.zendesk.com/agent/tickets/468723.0
341,19965,https://useblu.zendesk.com/agent/tickets/468724.0
349,48995,https://useblu.zendesk.com/agent/tickets/468736.0
350,44716,https://useblu.zendesk.com/agent/tickets/468737.0
368,38042,https://useblu.zendesk.com/agent/tickets/461789.0
370,15822,https://useblu.zendesk.com/agent/tickets/461791.0
372,22265,https://useblu.zendesk.com/agent/tickets/461802.0
383,42988,https://useblu.zendesk.com/agent/tickets/461915.0
385,23631,https://useblu.zendesk.com/agent/tickets/461917.0
388,20542,https://useblu.zendesk.com/agent/tickets/461920.0
392,22523,https://useblu.zendesk.com/agent/tickets/461925.0
393,47193,https://useblu.zendesk.com/agent/tickets/461926.0
402,28232,https://useblu.zendesk.com/agent/tickets/461934.0
404,27078,https://useblu.zendesk.com/agent/tickets/461937.0
414,42961,https://useblu.zendesk.com/agent/tickets/461951.0
419,48827,https://useblu.zendesk.com/agent/tickets/461957.0
425,38745,https://useblu.zendesk.com/agent/tickets/461966.0
426,47217,https://useblu.zendesk.com/agent/tickets/461967.0
430,48058,https://useblu.zendesk.com/agent/tickets/461971.0
432,37772,https://useblu.zendesk.com/agent/tickets/461973.0
435,44087,https://useblu.zendesk.com/agent/tickets/461976.0
436,43800,https://useblu.zendesk.com/agent/tickets/461977.0
441,47367,https://useblu.zendesk.com/agent/tickets/471768.0
456,20605,https://useblu.zendesk.com/agent/tickets/471851.0
461,49098,https://useblu.zendesk.com/agent/tickets/471864.0
462,47785,https://useblu.zendesk.com/agent/tickets/471769.0
464,38037,https://useblu.zendesk.com/agent/tickets/471773.0
473,17154,https://useblu.zendesk.com/agent/tickets/471782.0
474,21268,https://useblu.zendesk.com/agent/tickets/471783.0
478,46622,https://useblu.zendesk.com/agent/tickets/471787.0
504,45512,https://useblu.zendesk.com/agent/tickets/471818.0
505,23018,https://useblu.zendesk.com/agent/tickets/471819.0
506,28141,https://useblu.zendesk.com/agent/tickets/471820.0
507,41610,https://useblu.zendesk.com/agent/tickets/471821.0
510,13935,https://useblu.zendesk.com/agent/tickets/471824.0
514,14058,https://useblu.zendesk.com/agent/tickets/471829.0
527,41133,https://useblu.zendesk.com/agent/tickets/471848.0
528,38700,https://useblu.zendesk.com/agent/tickets/471849.0
