,client_id,zendesk_calls
15,47046,https://useblu.zendesk.com/agent/tickets/431933
18,47076,https://useblu.zendesk.com/agent/tickets/431935
22,42667,https://useblu.zendesk.com/agent/tickets/431939
23,47293,https://useblu.zendesk.com/agent/tickets/431940
24,47242,https://useblu.zendesk.com/agent/tickets/431941
26,46991,https://useblu.zendesk.com/agent/tickets/431943
27,47547,https://useblu.zendesk.com/agent/tickets/431944
28,47214,https://useblu.zendesk.com/agent/tickets/431945
29,47494,https://useblu.zendesk.com/agent/tickets/431946
30,46522,https://useblu.zendesk.com/agent/tickets/431947
37,29322,https://useblu.zendesk.com/agent/tickets/455411
39,45331,https://useblu.zendesk.com/agent/tickets/444712
54,48306,https://useblu.zendesk.com/agent/tickets/467802
71,46265,https://useblu.zendesk.com/agent/tickets/467822
84,47247,https://useblu.zendesk.com/agent/tickets/444716
89,47882,https://useblu.zendesk.com/agent/tickets/444721
90,47044,https://useblu.zendesk.com/agent/tickets/444722
91,47007,https://useblu.zendesk.com/agent/tickets/444723
92,46625,https://useblu.zendesk.com/agent/tickets/444724
93,47048,https://useblu.zendesk.com/agent/tickets/444725
94,47003,https://useblu.zendesk.com/agent/tickets/444726
97,48033,https://useblu.zendesk.com/agent/tickets/444729
104,47757,https://useblu.zendesk.com/agent/tickets/444736
120,46921,https://useblu.zendesk.com/agent/tickets/467843
135,45911,https://useblu.zendesk.com/agent/tickets/467862
136,45861,https://useblu.zendesk.com/agent/tickets/467863
144,45214,https://useblu.zendesk.com/agent/tickets/433753
154,46949,https://useblu.zendesk.com/agent/tickets/433765
156,46957,https://useblu.zendesk.com/agent/tickets/433767
162,47004,https://useblu.zendesk.com/agent/tickets/433773
172,46844,https://useblu.zendesk.com/agent/tickets/435508
179,47569,https://useblu.zendesk.com/agent/tickets/435515
189,47022,https://useblu.zendesk.com/agent/tickets/435526
203,43850,https://useblu.zendesk.com/agent/tickets/436893
207,45075,https://useblu.zendesk.com/agent/tickets/436895
212,47472,https://useblu.zendesk.com/agent/tickets/436901
213,46557,https://useblu.zendesk.com/agent/tickets/451100
236,46677,https://useblu.zendesk.com/agent/tickets/446826
238,46305,https://useblu.zendesk.com/agent/tickets/446828
240,42944,https://useblu.zendesk.com/agent/tickets/446830
241,47117,https://useblu.zendesk.com/agent/tickets/446831
244,47362,https://useblu.zendesk.com/agent/tickets/446834
264,46556,https://useblu.zendesk.com/agent/tickets/446855
291,47710,https://useblu.zendesk.com/agent/tickets/446883
296,12509,https://useblu.zendesk.com/agent/tickets/446888
300,47753,https://useblu.zendesk.com/agent/tickets/446892
302,47243,https://useblu.zendesk.com/agent/tickets/446894
304,47180,https://useblu.zendesk.com/agent/tickets/446896
307,46935,https://useblu.zendesk.com/agent/tickets/446899
312,45818,https://useblu.zendesk.com/agent/tickets/446904
313,47181,https://useblu.zendesk.com/agent/tickets/446905
317,46233,https://useblu.zendesk.com/agent/tickets/446909
333,43433,https://useblu.zendesk.com/agent/tickets/446927
342,47045,https://useblu.zendesk.com/agent/tickets/439213
345,47831,https://useblu.zendesk.com/agent/tickets/446939
359,46693,https://useblu.zendesk.com/agent/tickets/446953
362,45909,https://useblu.zendesk.com/agent/tickets/446956
375,47267,https://useblu.zendesk.com/agent/tickets/446969
377,47662,https://useblu.zendesk.com/agent/tickets/446971
381,46534,https://useblu.zendesk.com/agent/tickets/446975
392,47962,https://useblu.zendesk.com/agent/tickets/447080
394,47473,https://useblu.zendesk.com/agent/tickets/447118
399,46535,https://useblu.zendesk.com/agent/tickets/447045
402,46567,https://useblu.zendesk.com/agent/tickets/447048
403,44615,https://useblu.zendesk.com/agent/tickets/447049
408,46790,https://useblu.zendesk.com/agent/tickets/447054
409,47958,https://useblu.zendesk.com/agent/tickets/447055
412,47635,https://useblu.zendesk.com/agent/tickets/447059
418,46591,https://useblu.zendesk.com/agent/tickets/447065
419,46660,https://useblu.zendesk.com/agent/tickets/447066
424,47250,https://useblu.zendesk.com/agent/tickets/447072
426,47227,https://useblu.zendesk.com/agent/tickets/447074
428,46193,https://useblu.zendesk.com/agent/tickets/447076
429,46056,https://useblu.zendesk.com/agent/tickets/447077
432,46140,https://useblu.zendesk.com/agent/tickets/447081
436,48151,https://useblu.zendesk.com/agent/tickets/447085
