,client_id,zendesk_calls
0,27055,https://useblu.zendesk.com/agent/tickets/408373
2,38419,https://useblu.zendesk.com/agent/tickets/408561
5,41815,https://useblu.zendesk.com/agent/tickets/408565
8,40024,https://useblu.zendesk.com/agent/tickets/425895
14,14138,https://useblu.zendesk.com/agent/tickets/408647
16,19313,https://useblu.zendesk.com/agent/tickets/408650
19,14494,https://useblu.zendesk.com/agent/tickets/414224
20,20821,https://useblu.zendesk.com/agent/tickets/408657
24,19396,https://useblu.zendesk.com/agent/tickets/408667
25,20947,https://useblu.zendesk.com/agent/tickets/408668
35,24939,https://useblu.zendesk.com/agent/tickets/408662
42,14682,https://useblu.zendesk.com/agent/tickets/427074
72,37784,https://useblu.zendesk.com/agent/tickets/410648
75,21248,https://useblu.zendesk.com/agent/tickets/410653
80,16770,https://useblu.zendesk.com/agent/tickets/410669
94,22875,https://useblu.zendesk.com/agent/tickets/410494
105,14347,https://useblu.zendesk.com/agent/tickets/410506
107,16334,https://useblu.zendesk.com/agent/tickets/410508
109,14887,https://useblu.zendesk.com/agent/tickets/410509
128,12873,https://useblu.zendesk.com/agent/tickets/410538
129,11687,https://useblu.zendesk.com/agent/tickets/410539
133,11641,https://useblu.zendesk.com/agent/tickets/410543
147,12508,https://useblu.zendesk.com/agent/tickets/410563
152,11392,https://useblu.zendesk.com/agent/tickets/410568
158,17475,https://useblu.zendesk.com/agent/tickets/410578
165,17012,https://useblu.zendesk.com/agent/tickets/410587
169,14790,https://useblu.zendesk.com/agent/tickets/414473
172,19042,https://useblu.zendesk.com/agent/tickets/414477
177,15779,https://useblu.zendesk.com/agent/tickets/414482
179,17712,https://useblu.zendesk.com/agent/tickets/414484
184,23792,https://useblu.zendesk.com/agent/tickets/410592
191,45139,https://useblu.zendesk.com/agent/tickets/410600
194,19561,https://useblu.zendesk.com/agent/tickets/410605
198,22622,https://useblu.zendesk.com/agent/tickets/410609
199,22201,https://useblu.zendesk.com/agent/tickets/410610
202,23327,https://useblu.zendesk.com/agent/tickets/410613
206,14964,https://useblu.zendesk.com/agent/tickets/410617
210,12547,https://useblu.zendesk.com/agent/tickets/410623
215,17543,https://useblu.zendesk.com/agent/tickets/410628
225,13464,https://useblu.zendesk.com/agent/tickets/410639
226,13859,https://useblu.zendesk.com/agent/tickets/410640
228,14254,https://useblu.zendesk.com/agent/tickets/410642
233,40855,https://useblu.zendesk.com/agent/tickets/410644
236,39466,https://useblu.zendesk.com/agent/tickets/410650
238,22189,https://useblu.zendesk.com/agent/tickets/410654
241,30119,https://useblu.zendesk.com/agent/tickets/410657
243,30031,https://useblu.zendesk.com/agent/tickets/410659
244,28782,https://useblu.zendesk.com/agent/tickets/410660
246,43743,https://useblu.zendesk.com/agent/tickets/410662
250,16040,https://useblu.zendesk.com/agent/tickets/414333
255,13678,https://useblu.zendesk.com/agent/tickets/414338
257,15897,https://useblu.zendesk.com/agent/tickets/414343
258,11755,https://useblu.zendesk.com/agent/tickets/414344
262,9998,https://useblu.zendesk.com/agent/tickets/414348
273,42432,https://useblu.zendesk.com/agent/tickets/425825
280,21816,https://useblu.zendesk.com/agent/tickets/410886
282,18095,https://useblu.zendesk.com/agent/tickets/410894
289,21522,https://useblu.zendesk.com/agent/tickets/410888
292,15423,https://useblu.zendesk.com/agent/tickets/410891
293,19616,https://useblu.zendesk.com/agent/tickets/410895
295,11803,https://useblu.zendesk.com/agent/tickets/410897
296,15777,https://useblu.zendesk.com/agent/tickets/410898
299,13963,https://useblu.zendesk.com/agent/tickets/410901
303,22101,https://useblu.zendesk.com/agent/tickets/410908
304,22360,https://useblu.zendesk.com/agent/tickets/410909
305,39015,https://useblu.zendesk.com/agent/tickets/425828
313,38612,https://useblu.zendesk.com/agent/tickets/425856
317,16847,https://useblu.zendesk.com/agent/tickets/410968
321,19729,https://useblu.zendesk.com/agent/tickets/410947
324,25857,https://useblu.zendesk.com/agent/tickets/410950
325,17143,https://useblu.zendesk.com/agent/tickets/410951
326,24772,https://useblu.zendesk.com/agent/tickets/410952
328,29564,https://useblu.zendesk.com/agent/tickets/410954
331,23335,https://useblu.zendesk.com/agent/tickets/410958
333,18879,https://useblu.zendesk.com/agent/tickets/410960
337,41524,https://useblu.zendesk.com/agent/tickets/410964
338,39563,https://useblu.zendesk.com/agent/tickets/410965
339,44986,https://useblu.zendesk.com/agent/tickets/410966
341,11199,https://useblu.zendesk.com/agent/tickets/421772
350,39565,https://useblu.zendesk.com/agent/tickets/421798
358,22939,https://useblu.zendesk.com/agent/tickets/421848
361,14869,https://useblu.zendesk.com/agent/tickets/421860
368,31652,https://useblu.zendesk.com/agent/tickets/421887
372,20545,https://useblu.zendesk.com/agent/tickets/415942
373,16730,https://useblu.zendesk.com/agent/tickets/444661
375,16305,https://useblu.zendesk.com/agent/tickets/415948
384,44516,https://useblu.zendesk.com/agent/tickets/450662
389,22125,https://useblu.zendesk.com/agent/tickets/429408
393,15133,https://useblu.zendesk.com/agent/tickets/444697
397,36911,https://useblu.zendesk.com/agent/tickets/415981
398,43963,https://useblu.zendesk.com/agent/tickets/415985
411,17978,https://useblu.zendesk.com/agent/tickets/412731
413,14464,https://useblu.zendesk.com/agent/tickets/412739
416,19646,https://useblu.zendesk.com/agent/tickets/412743
421,16702,https://useblu.zendesk.com/agent/tickets/412773
422,17273,https://useblu.zendesk.com/agent/tickets/412777
426,13829,https://useblu.zendesk.com/agent/tickets/414340
431,15392,https://useblu.zendesk.com/agent/tickets/421767
442,13584,https://useblu.zendesk.com/agent/tickets/414363
443,18838,https://useblu.zendesk.com/agent/tickets/421781
444,23209,https://useblu.zendesk.com/agent/tickets/421782
446,41561,https://useblu.zendesk.com/agent/tickets/421784
456,23345,https://useblu.zendesk.com/agent/tickets/421795
457,40564,https://useblu.zendesk.com/agent/tickets/421796
473,27375,https://useblu.zendesk.com/agent/tickets/421811
487,23144,https://useblu.zendesk.com/agent/tickets/421830
489,44208,https://useblu.zendesk.com/agent/tickets/421832
492,15710,https://useblu.zendesk.com/agent/tickets/421835
493,44865,https://useblu.zendesk.com/agent/tickets/421837
505,30632,https://useblu.zendesk.com/agent/tickets/421852
506,44364,https://useblu.zendesk.com/agent/tickets/421855
507,40015,https://useblu.zendesk.com/agent/tickets/421856
509,43358,https://useblu.zendesk.com/agent/tickets/421858
510,15627,https://useblu.zendesk.com/agent/tickets/421859
521,43828,https://useblu.zendesk.com/agent/tickets/421875
522,12393,https://useblu.zendesk.com/agent/tickets/421876
527,14260,https://useblu.zendesk.com/agent/tickets/421883
531,46329,https://useblu.zendesk.com/agent/tickets/421890
534,22662,https://useblu.zendesk.com/agent/tickets/421893
538,38193,https://useblu.zendesk.com/agent/tickets/421900
542,27698,https://useblu.zendesk.com/agent/tickets/421905
548,14487,https://useblu.zendesk.com/agent/tickets/421913
551,26467,https://useblu.zendesk.com/agent/tickets/421917
568,36285,https://useblu.zendesk.com/agent/tickets/425424
577,45236,https://useblu.zendesk.com/agent/tickets/406713
580,15453,https://useblu.zendesk.com/agent/tickets/406383
582,12138,https://useblu.zendesk.com/agent/tickets/406385
585,11640,https://useblu.zendesk.com/agent/tickets/406396
590,16337,https://useblu.zendesk.com/agent/tickets/406412
596,13426,https://useblu.zendesk.com/agent/tickets/406556
606,16992,https://useblu.zendesk.com/agent/tickets/406565
609,19954,https://useblu.zendesk.com/agent/tickets/406569
615,22885,https://useblu.zendesk.com/agent/tickets/406576
617,21308,https://useblu.zendesk.com/agent/tickets/406578
624,23631,https://useblu.zendesk.com/agent/tickets/406586
631,28664,https://useblu.zendesk.com/agent/tickets/406593
634,20142,https://useblu.zendesk.com/agent/tickets/406597
637,20021,https://useblu.zendesk.com/agent/tickets/406600
638,19153,https://useblu.zendesk.com/agent/tickets/406601
639,21715,https://useblu.zendesk.com/agent/tickets/406602
640,25208,https://useblu.zendesk.com/agent/tickets/406603
642,26271,https://useblu.zendesk.com/agent/tickets/406605
648,21338,https://useblu.zendesk.com/agent/tickets/406613
654,33809,https://useblu.zendesk.com/agent/tickets/406619
655,28435,https://useblu.zendesk.com/agent/tickets/406620
658,30953,https://useblu.zendesk.com/agent/tickets/406623
659,31005,https://useblu.zendesk.com/agent/tickets/406624
660,38608,https://useblu.zendesk.com/agent/tickets/406625
663,29189,https://useblu.zendesk.com/agent/tickets/406627
670,30523,https://useblu.zendesk.com/agent/tickets/406637
671,38348,https://useblu.zendesk.com/agent/tickets/406638
676,11095,https://useblu.zendesk.com/agent/tickets/412590
680,12711,https://useblu.zendesk.com/agent/tickets/412595
684,14744,https://useblu.zendesk.com/agent/tickets/412599
686,13302,https://useblu.zendesk.com/agent/tickets/412601
693,12012,https://useblu.zendesk.com/agent/tickets/412608
698,11969,https://useblu.zendesk.com/agent/tickets/412613
714,12553,https://useblu.zendesk.com/agent/tickets/412623
721,14316,https://useblu.zendesk.com/agent/tickets/412631
722,14074,https://useblu.zendesk.com/agent/tickets/412632
724,15052,https://useblu.zendesk.com/agent/tickets/412634
729,39544,https://useblu.zendesk.com/agent/tickets/406656
737,14541,https://useblu.zendesk.com/agent/tickets/412655
738,14496,https://useblu.zendesk.com/agent/tickets/412656
740,11079,https://useblu.zendesk.com/agent/tickets/412658
743,14725,https://useblu.zendesk.com/agent/tickets/412659
749,13219,https://useblu.zendesk.com/agent/tickets/412665
751,12979,https://useblu.zendesk.com/agent/tickets/412667
754,38413,https://useblu.zendesk.com/agent/tickets/406652
758,38284,https://useblu.zendesk.com/agent/tickets/406657
760,41965,https://useblu.zendesk.com/agent/tickets/406659
766,41079,https://useblu.zendesk.com/agent/tickets/406663
770,45256,https://useblu.zendesk.com/agent/tickets/406688
774,33710,https://useblu.zendesk.com/agent/tickets/406672
776,37340,https://useblu.zendesk.com/agent/tickets/406675
781,43506,https://useblu.zendesk.com/agent/tickets/406682
784,45354,https://useblu.zendesk.com/agent/tickets/406685
785,46521,https://useblu.zendesk.com/agent/tickets/406687
789,41405,https://useblu.zendesk.com/agent/tickets/412671
797,16575,https://useblu.zendesk.com/agent/tickets/412680
805,14416,https://useblu.zendesk.com/agent/tickets/412688
813,13656,https://useblu.zendesk.com/agent/tickets/412696
816,13120,https://useblu.zendesk.com/agent/tickets/412699
821,14375,https://useblu.zendesk.com/agent/tickets/412704
823,12395,https://useblu.zendesk.com/agent/tickets/412709
824,13846,https://useblu.zendesk.com/agent/tickets/412710
834,21515,https://useblu.zendesk.com/agent/tickets/412721
841,16898,https://useblu.zendesk.com/agent/tickets/412729
842,20719,https://useblu.zendesk.com/agent/tickets/412733
852,20316,https://useblu.zendesk.com/agent/tickets/412751
855,21754,https://useblu.zendesk.com/agent/tickets/412754
856,17971,https://useblu.zendesk.com/agent/tickets/412755
860,17552,https://useblu.zendesk.com/agent/tickets/412759
861,22763,https://useblu.zendesk.com/agent/tickets/412760
870,21491,https://useblu.zendesk.com/agent/tickets/412771
880,28837,https://useblu.zendesk.com/agent/tickets/412784
886,24277,https://useblu.zendesk.com/agent/tickets/412791
891,40266,https://useblu.zendesk.com/agent/tickets/412796
895,43095,https://useblu.zendesk.com/agent/tickets/412800
898,45618,https://useblu.zendesk.com/agent/tickets/406694
899,44420,https://useblu.zendesk.com/agent/tickets/406695
903,40814,https://useblu.zendesk.com/agent/tickets/406700
909,42796,https://useblu.zendesk.com/agent/tickets/406706
910,43048,https://useblu.zendesk.com/agent/tickets/406707
911,43165,https://useblu.zendesk.com/agent/tickets/406708
913,44111,https://useblu.zendesk.com/agent/tickets/406710
915,42934,https://useblu.zendesk.com/agent/tickets/406712
923,43142,https://useblu.zendesk.com/agent/tickets/406743
925,45801,https://useblu.zendesk.com/agent/tickets/406745
928,42576,https://useblu.zendesk.com/agent/tickets/406748
929,42454,https://useblu.zendesk.com/agent/tickets/406749
930,44503,https://useblu.zendesk.com/agent/tickets/406751
933,43986,https://useblu.zendesk.com/agent/tickets/406754
938,45593,https://useblu.zendesk.com/agent/tickets/406759
941,46186,https://useblu.zendesk.com/agent/tickets/406763
943,43208,https://useblu.zendesk.com/agent/tickets/406765
945,45629,https://useblu.zendesk.com/agent/tickets/406768
948,11187,https://useblu.zendesk.com/agent/tickets/407008
949,14895,https://useblu.zendesk.com/agent/tickets/407009
951,14281,https://useblu.zendesk.com/agent/tickets/407011
952,11397,https://useblu.zendesk.com/agent/tickets/407012
955,15894,https://useblu.zendesk.com/agent/tickets/407017
960,13715,https://useblu.zendesk.com/agent/tickets/407016
964,16035,https://useblu.zendesk.com/agent/tickets/406999
966,14027,https://useblu.zendesk.com/agent/tickets/407004
973,11465,https://useblu.zendesk.com/agent/tickets/414461
974,26296,https://useblu.zendesk.com/agent/tickets/414464
980,43888,https://useblu.zendesk.com/agent/tickets/439012
981,27452,https://useblu.zendesk.com/agent/tickets/439013
987,30311,https://useblu.zendesk.com/agent/tickets/444581
1002,45720,https://useblu.zendesk.com/agent/tickets/444597
1022,41128,https://useblu.zendesk.com/agent/tickets/444621
1023,18758,https://useblu.zendesk.com/agent/tickets/444623
1032,20968,https://useblu.zendesk.com/agent/tickets/444633
1044,12989,https://useblu.zendesk.com/agent/tickets/444641
1045,29104,https://useblu.zendesk.com/agent/tickets/444642
1048,42707,https://useblu.zendesk.com/agent/tickets/444647
1052,45681,https://useblu.zendesk.com/agent/tickets/444651
1056,41445,https://useblu.zendesk.com/agent/tickets/444654
1059,13719,https://useblu.zendesk.com/agent/tickets/408318
1074,9873,https://useblu.zendesk.com/agent/tickets/408422
1083,41622,https://useblu.zendesk.com/agent/tickets/444660
1086,13247,https://useblu.zendesk.com/agent/tickets/444664
1087,45133,https://useblu.zendesk.com/agent/tickets/444665
1092,12533,https://useblu.zendesk.com/agent/tickets/444667
1093,11021,https://useblu.zendesk.com/agent/tickets/444668
1096,38644,https://useblu.zendesk.com/agent/tickets/444675
1111,12645,https://useblu.zendesk.com/agent/tickets/408531
1112,21701,https://useblu.zendesk.com/agent/tickets/425361
1117,30000,https://useblu.zendesk.com/agent/tickets/444695
1127,27796,https://useblu.zendesk.com/agent/tickets/408558
1128,20359,https://useblu.zendesk.com/agent/tickets/408559
1130,15197,https://useblu.zendesk.com/agent/tickets/408322
1139,16345,https://useblu.zendesk.com/agent/tickets/408379
1142,18486,https://useblu.zendesk.com/agent/tickets/408384
1160,14200,https://useblu.zendesk.com/agent/tickets/408403
1166,10528,https://useblu.zendesk.com/agent/tickets/408413
1174,20733,https://useblu.zendesk.com/agent/tickets/408421
1178,11725,https://useblu.zendesk.com/agent/tickets/408427
1180,12961,https://useblu.zendesk.com/agent/tickets/408430
1185,13932,https://useblu.zendesk.com/agent/tickets/408435
1187,16297,https://useblu.zendesk.com/agent/tickets/408437
1190,12562,https://useblu.zendesk.com/agent/tickets/408440
1205,21148,https://useblu.zendesk.com/agent/tickets/408458
1206,23422,https://useblu.zendesk.com/agent/tickets/408459
1210,13112,https://useblu.zendesk.com/agent/tickets/425365
1221,12963,https://useblu.zendesk.com/agent/tickets/408471
1224,13679,https://useblu.zendesk.com/agent/tickets/408475
1226,15404,https://useblu.zendesk.com/agent/tickets/408477
1244,13263,https://useblu.zendesk.com/agent/tickets/408496
1254,23762,https://useblu.zendesk.com/agent/tickets/408506
1260,20361,https://useblu.zendesk.com/agent/tickets/408515
1263,17534,https://useblu.zendesk.com/agent/tickets/408518
1267,11662,https://useblu.zendesk.com/agent/tickets/408522
1274,12746,https://useblu.zendesk.com/agent/tickets/408532
1276,14647,https://useblu.zendesk.com/agent/tickets/408535
1283,16338,https://useblu.zendesk.com/agent/tickets/408550
1284,18297,https://useblu.zendesk.com/agent/tickets/408542
