,client_id,zendesk_calls
3,48801,https://useblu.zendesk.com/agent/tickets/461981.0
5,48340,https://useblu.zendesk.com/agent/tickets/461983.0
6,40404,https://useblu.zendesk.com/agent/tickets/461984.0
9,46121,https://useblu.zendesk.com/agent/tickets/461988.0
10,46060,https://useblu.zendesk.com/agent/tickets/461989.0
14,45721,https://useblu.zendesk.com/agent/tickets/461993.0
16,40574,https://useblu.zendesk.com/agent/tickets/461995.0
17,41976,https://useblu.zendesk.com/agent/tickets/461996.0
18,29105,https://useblu.zendesk.com/agent/tickets/461997.0
19,43190,https://useblu.zendesk.com/agent/tickets/461998.0
