,client_id,zendesk_calls
7,18852,https://useblu.zendesk.com/agent/tickets/436940.0
14,21152,https://useblu.zendesk.com/agent/tickets/436949.0
21,38779,https://useblu.zendesk.com/agent/tickets/436960.0
25,21974,https://useblu.zendesk.com/agent/tickets/433412.0
27,12718,https://useblu.zendesk.com/agent/tickets/433416.0
38,10900,https://useblu.zendesk.com/agent/tickets/433500.0
39,12485,https://useblu.zendesk.com/agent/tickets/433501.0
40,11846,https://useblu.zendesk.com/agent/tickets/433503.0
69,27681,https://useblu.zendesk.com/agent/tickets/444785.0
87,22000,https://useblu.zendesk.com/agent/tickets/436925.0
92,48097,https://useblu.zendesk.com/agent/tickets/433409.0
97,38091,https://useblu.zendesk.com/agent/tickets/433417.0
103,45153,https://useblu.zendesk.com/agent/tickets/433425.0
105,21225,https://useblu.zendesk.com/agent/tickets/433429.0
108,23956,https://useblu.zendesk.com/agent/tickets/433432.0
112,13511,https://useblu.zendesk.com/agent/tickets/433437.0
113,11940,https://useblu.zendesk.com/agent/tickets/433438.0
132,41238,https://useblu.zendesk.com/agent/tickets/433458.0
156,47810,https://useblu.zendesk.com/agent/tickets/433488.0
159,29642,https://useblu.zendesk.com/agent/tickets/433491.0
161,21918,https://useblu.zendesk.com/agent/tickets/433493.0
172,46373,https://useblu.zendesk.com/agent/tickets/433508.0
174,43952,https://useblu.zendesk.com/agent/tickets/433513.0
177,35393,https://useblu.zendesk.com/agent/tickets/433516.0
180,17682,https://useblu.zendesk.com/agent/tickets/433519.0
181,22496,https://useblu.zendesk.com/agent/tickets/433520.0
184,47481,https://useblu.zendesk.com/agent/tickets/433525.0
187,42442,https://useblu.zendesk.com/agent/tickets/433530.0
190,21932,https://useblu.zendesk.com/agent/tickets/436955.0
198,19869,https://useblu.zendesk.com/agent/tickets/436976.0
203,29001,https://useblu.zendesk.com/agent/tickets/435445.0
207,14053,https://useblu.zendesk.com/agent/tickets/435497.0
208,12612,https://useblu.zendesk.com/agent/tickets/435498.0
216,25031,https://useblu.zendesk.com/agent/tickets/436974.0
217,33380,https://useblu.zendesk.com/agent/tickets/436978.0
224,14746,https://useblu.zendesk.com/agent/tickets/435400.0
232,29817,https://useblu.zendesk.com/agent/tickets/435409.0
235,12396,https://useblu.zendesk.com/agent/tickets/435412.0
236,46975,https://useblu.zendesk.com/agent/tickets/435413.0
244,40525,https://useblu.zendesk.com/agent/tickets/435423.0
252,40800,https://useblu.zendesk.com/agent/tickets/435432.0
259,13101,https://useblu.zendesk.com/agent/tickets/435439.0
261,43457,https://useblu.zendesk.com/agent/tickets/435441.0
277,43380,https://useblu.zendesk.com/agent/tickets/435462.0
293,37014,https://useblu.zendesk.com/agent/tickets/435479.0
297,18170,https://useblu.zendesk.com/agent/tickets/435483.0
304,40168,https://useblu.zendesk.com/agent/tickets/435490.0
318,13931,https://useblu.zendesk.com/agent/tickets/436965.0
319,41807,https://useblu.zendesk.com/agent/tickets/436966.0
337,11989,https://useblu.zendesk.com/agent/tickets/439571.0
340,26443,https://useblu.zendesk.com/agent/tickets/439602.0
346,48552,https://useblu.zendesk.com/agent/tickets/439560.0
349,45195,https://useblu.zendesk.com/agent/tickets/439564.0
350,45853,https://useblu.zendesk.com/agent/tickets/439566.0
353,16680,https://useblu.zendesk.com/agent/tickets/439572.0
366,44987,https://useblu.zendesk.com/agent/tickets/439584.0
367,42367,https://useblu.zendesk.com/agent/tickets/439585.0
369,17891,https://useblu.zendesk.com/agent/tickets/439587.0
370,23153,https://useblu.zendesk.com/agent/tickets/439588.0
372,40172,https://useblu.zendesk.com/agent/tickets/439590.0
374,43350,https://useblu.zendesk.com/agent/tickets/439592.0
375,24102,https://useblu.zendesk.com/agent/tickets/439593.0
376,39147,https://useblu.zendesk.com/agent/tickets/439594.0
378,45743,https://useblu.zendesk.com/agent/tickets/439596.0
379,27287,https://useblu.zendesk.com/agent/tickets/439597.0
380,37884,https://useblu.zendesk.com/agent/tickets/439598.0
381,45389,https://useblu.zendesk.com/agent/tickets/439599.0
395,13922,https://useblu.zendesk.com/agent/tickets/441407.0
399,23853,https://useblu.zendesk.com/agent/tickets/441384.0
401,43936,https://useblu.zendesk.com/agent/tickets/441386.0
410,37925,https://useblu.zendesk.com/agent/tickets/441390.0
414,13541,https://useblu.zendesk.com/agent/tickets/441394.0
430,22881,https://useblu.zendesk.com/agent/tickets/441412.0
434,45562,https://useblu.zendesk.com/agent/tickets/441416.0
443,12982,https://useblu.zendesk.com/agent/tickets/441425.0
445,45008,https://useblu.zendesk.com/agent/tickets/441427.0
447,14935,https://useblu.zendesk.com/agent/tickets/441431.0
449,16638,https://useblu.zendesk.com/agent/tickets/441433.0
451,39959,https://useblu.zendesk.com/agent/tickets/441436.0
458,15197,https://useblu.zendesk.com/agent/tickets/449305.0
459,14071,https://useblu.zendesk.com/agent/tickets/449310.0
463,28597,https://useblu.zendesk.com/agent/tickets/449294.0
466,12389,https://useblu.zendesk.com/agent/tickets/449297.0
470,23908,https://useblu.zendesk.com/agent/tickets/449301.0
477,41815,https://useblu.zendesk.com/agent/tickets/449309.0
479,19319,https://useblu.zendesk.com/agent/tickets/443054.0
481,21427,https://useblu.zendesk.com/agent/tickets/443057.0
490,13155,https://useblu.zendesk.com/agent/tickets/443067.0
515,14677,https://useblu.zendesk.com/agent/tickets/443097.0
528,17387,https://useblu.zendesk.com/agent/tickets/451242.0
537,21215,https://useblu.zendesk.com/agent/tickets/451252.0
540,13615,https://useblu.zendesk.com/agent/tickets/451255.0
554,37679,https://useblu.zendesk.com/agent/tickets/453289.0
561,45586,https://useblu.zendesk.com/agent/tickets/453301.0
565,13483,https://useblu.zendesk.com/agent/tickets/453310.0
582,23281,https://useblu.zendesk.com/agent/tickets/454994.0
623,12992,https://useblu.zendesk.com/agent/tickets/471943.0
626,20545,https://useblu.zendesk.com/agent/tickets/471927.0
635,18850,https://useblu.zendesk.com/agent/tickets/471936.0
636,21246,https://useblu.zendesk.com/agent/tickets/471937.0
638,20316,https://useblu.zendesk.com/agent/tickets/471939.0
642,11831,https://useblu.zendesk.com/agent/tickets/471962.0
643,11707,https://useblu.zendesk.com/agent/tickets/471963.0
647,47302,https://useblu.zendesk.com/agent/tickets/471953.0
651,22189,https://useblu.zendesk.com/agent/tickets/471959.0
653,39992,https://useblu.zendesk.com/agent/tickets/471961.0
654,20526,https://useblu.zendesk.com/agent/tickets/471965.0
656,21954,https://useblu.zendesk.com/agent/tickets/471967.0
