,client_id,zendesk_calls
3,28381,https://useblu.zendesk.com/agent/tickets/442848
10,14357,https://useblu.zendesk.com/agent/tickets/431909
24,19818,https://useblu.zendesk.com/agent/tickets/444824
39,21145,https://useblu.zendesk.com/agent/tickets/444825
56,23550,https://useblu.zendesk.com/agent/tickets/465554
59,26288,https://useblu.zendesk.com/agent/tickets/441129
60,26955,https://useblu.zendesk.com/agent/tickets/450566
62,38738,https://useblu.zendesk.com/agent/tickets/450571
64,23085,https://useblu.zendesk.com/agent/tickets/437104
65,21268,https://useblu.zendesk.com/agent/tickets/437105
67,15856,https://useblu.zendesk.com/agent/tickets/437107
82,43995,https://useblu.zendesk.com/agent/tickets/450577
89,20412,https://useblu.zendesk.com/agent/tickets/446652
95,42887,https://useblu.zendesk.com/agent/tickets/446633
97,43815,https://useblu.zendesk.com/agent/tickets/446635
99,47654,https://useblu.zendesk.com/agent/tickets/446637
102,41389,https://useblu.zendesk.com/agent/tickets/446642
103,47739,https://useblu.zendesk.com/agent/tickets/446643
106,48064,https://useblu.zendesk.com/agent/tickets/446646
108,29937,https://useblu.zendesk.com/agent/tickets/446654
110,38350,https://useblu.zendesk.com/agent/tickets/446656
118,29566,https://useblu.zendesk.com/agent/tickets/437109
123,48706,https://useblu.zendesk.com/agent/tickets/439137
129,45240,https://useblu.zendesk.com/agent/tickets/443049
133,47521,https://useblu.zendesk.com/agent/tickets/439143
143,41305,https://useblu.zendesk.com/agent/tickets/450563
146,45940,https://useblu.zendesk.com/agent/tickets/450567
150,15885,https://useblu.zendesk.com/agent/tickets/449151
153,19256,https://useblu.zendesk.com/agent/tickets/449154
156,42398,https://useblu.zendesk.com/agent/tickets/441209
157,12680,https://useblu.zendesk.com/agent/tickets/441213
159,16334,https://useblu.zendesk.com/agent/tickets/441123
164,45272,https://useblu.zendesk.com/agent/tickets/441211
165,48915,https://useblu.zendesk.com/agent/tickets/441212
185,45193,https://useblu.zendesk.com/agent/tickets/450573
187,14644,https://useblu.zendesk.com/agent/tickets/459284
189,29354,https://useblu.zendesk.com/agent/tickets/459286
199,16927,https://useblu.zendesk.com/agent/tickets/450576
202,48751,https://useblu.zendesk.com/agent/tickets/450562
204,44472,https://useblu.zendesk.com/agent/tickets/450578
214,21495,https://useblu.zendesk.com/agent/tickets/453123
218,15706,https://useblu.zendesk.com/agent/tickets/453129
228,14986,https://useblu.zendesk.com/agent/tickets/454952
231,30145,https://useblu.zendesk.com/agent/tickets/454962
237,21701,https://useblu.zendesk.com/agent/tickets/470388
241,21083,https://useblu.zendesk.com/agent/tickets/470404
245,41145,https://useblu.zendesk.com/agent/tickets/454951
246,43995,https://useblu.zendesk.com/agent/tickets/454954
248,30153,https://useblu.zendesk.com/agent/tickets/454958
249,22872,https://useblu.zendesk.com/agent/tickets/454959
257,40780,https://useblu.zendesk.com/agent/tickets/461230
263,9641,https://useblu.zendesk.com/agent/tickets/461236
278,46906,https://useblu.zendesk.com/agent/tickets/470402
279,17693,https://useblu.zendesk.com/agent/tickets/456993
280,22524,https://useblu.zendesk.com/agent/tickets/456994
290,48166,https://useblu.zendesk.com/agent/tickets/463630
291,47901,https://useblu.zendesk.com/agent/tickets/463631
301,20581,https://useblu.zendesk.com/agent/tickets/465701
306,39095,https://useblu.zendesk.com/agent/tickets/465697
