,client_id,zendesk_calls
25,40796,https://useblu.zendesk.com/agent/tickets/459276
30,41696,https://useblu.zendesk.com/agent/tickets/450978
33,39115,https://useblu.zendesk.com/agent/tickets/450950
34,41558,https://useblu.zendesk.com/agent/tickets/450951
35,41975,https://useblu.zendesk.com/agent/tickets/450952
36,40539,https://useblu.zendesk.com/agent/tickets/450953
39,41608,https://useblu.zendesk.com/agent/tickets/450956
42,40571,https://useblu.zendesk.com/agent/tickets/450959
43,40734,https://useblu.zendesk.com/agent/tickets/450960
45,40548,https://useblu.zendesk.com/agent/tickets/450962
49,41176,https://useblu.zendesk.com/agent/tickets/450966
50,41617,https://useblu.zendesk.com/agent/tickets/450967
52,41470,https://useblu.zendesk.com/agent/tickets/450969
54,41580,https://useblu.zendesk.com/agent/tickets/450971
59,42464,https://useblu.zendesk.com/agent/tickets/450977
63,32126,https://useblu.zendesk.com/agent/tickets/461461
74,41366,https://useblu.zendesk.com/agent/tickets/452995
77,42469,https://useblu.zendesk.com/agent/tickets/453001
106,38262,https://useblu.zendesk.com/agent/tickets/456982
135,40837,https://useblu.zendesk.com/agent/tickets/461449
157,42510,https://useblu.zendesk.com/agent/tickets/465890
161,41377,https://useblu.zendesk.com/agent/tickets/465897
