,zendesk_calls
0,https://useblu.zendesk.com/agent/tickets/468575.0
1,https://useblu.zendesk.com/agent/tickets/468576.0
2,https://useblu.zendesk.com/agent/tickets/468578.0
3,https://useblu.zendesk.com/agent/tickets/468579.0
4,https://useblu.zendesk.com/agent/tickets/468583.0
5,https://useblu.zendesk.com/agent/tickets/468584.0
11,https://useblu.zendesk.com/agent/tickets/468591.0
13,https://useblu.zendesk.com/agent/tickets/468593.0
14,https://useblu.zendesk.com/agent/tickets/468594.0
25,https://useblu.zendesk.com/agent/tickets/468415.0
32,https://useblu.zendesk.com/agent/tickets/461785.0
35,https://useblu.zendesk.com/agent/tickets/468458.0
40,https://useblu.zendesk.com/agent/tickets/468500.0
44,https://useblu.zendesk.com/agent/tickets/468506.0
45,https://useblu.zendesk.com/agent/tickets/468511.0
46,https://useblu.zendesk.com/agent/tickets/468512.0
56,https://useblu.zendesk.com/agent/tickets/468551.0
57,https://useblu.zendesk.com/agent/tickets/468552.0
58,https://useblu.zendesk.com/agent/tickets/468568.0
61,https://useblu.zendesk.com/agent/tickets/468582.0
64,https://useblu.zendesk.com/agent/tickets/468614.0
68,https://useblu.zendesk.com/agent/tickets/468629.0
69,https://useblu.zendesk.com/agent/tickets/468631.0
70,https://useblu.zendesk.com/agent/tickets/468633.0
78,https://useblu.zendesk.com/agent/tickets/468707.0
79,https://useblu.zendesk.com/agent/tickets/468708.0
86,https://useblu.zendesk.com/agent/tickets/468732.0
101,https://useblu.zendesk.com/agent/tickets/468618.0
102,https://useblu.zendesk.com/agent/tickets/468749.0
228,https://useblu.zendesk.com/agent/tickets/468546.0
233,https://useblu.zendesk.com/agent/tickets/468553.0
243,https://useblu.zendesk.com/agent/tickets/468563.0
245,https://useblu.zendesk.com/agent/tickets/468565.0
253,https://useblu.zendesk.com/agent/tickets/468621.0
254,https://useblu.zendesk.com/agent/tickets/468622.0
256,https://useblu.zendesk.com/agent/tickets/468624.0
258,https://useblu.zendesk.com/agent/tickets/461792.0
262,https://useblu.zendesk.com/agent/tickets/468630.0
264,https://useblu.zendesk.com/agent/tickets/468634.0
267,https://useblu.zendesk.com/agent/tickets/468638.0
273,https://useblu.zendesk.com/agent/tickets/468644.0
277,https://useblu.zendesk.com/agent/tickets/461796.0
278,https://useblu.zendesk.com/agent/tickets/461797.0
279,https://useblu.zendesk.com/agent/tickets/461798.0
281,https://useblu.zendesk.com/agent/tickets/461800.0
282,https://useblu.zendesk.com/agent/tickets/468647.0
292,https://useblu.zendesk.com/agent/tickets/468659.0
295,https://useblu.zendesk.com/agent/tickets/468662.0
299,https://useblu.zendesk.com/agent/tickets/468667.0
313,https://useblu.zendesk.com/agent/tickets/468683.0
320,https://useblu.zendesk.com/agent/tickets/468690.0
322,https://useblu.zendesk.com/agent/tickets/468692.0
323,https://useblu.zendesk.com/agent/tickets/468693.0
334,https://useblu.zendesk.com/agent/tickets/468713.0
337,https://useblu.zendesk.com/agent/tickets/468718.0
338,https://useblu.zendesk.com/agent/tickets/468721.0
340,https://useblu.zendesk.com/agent/tickets/468723.0
341,https://useblu.zendesk.com/agent/tickets/468724.0
349,https://useblu.zendesk.com/agent/tickets/468736.0
350,https://useblu.zendesk.com/agent/tickets/468737.0
368,https://useblu.zendesk.com/agent/tickets/461789.0
370,https://useblu.zendesk.com/agent/tickets/461791.0
372,https://useblu.zendesk.com/agent/tickets/461802.0
383,https://useblu.zendesk.com/agent/tickets/461915.0
385,https://useblu.zendesk.com/agent/tickets/461917.0
388,https://useblu.zendesk.com/agent/tickets/461920.0
392,https://useblu.zendesk.com/agent/tickets/461925.0
393,https://useblu.zendesk.com/agent/tickets/461926.0
402,https://useblu.zendesk.com/agent/tickets/461934.0
404,https://useblu.zendesk.com/agent/tickets/461937.0
414,https://useblu.zendesk.com/agent/tickets/461951.0
419,https://useblu.zendesk.com/agent/tickets/461957.0
425,https://useblu.zendesk.com/agent/tickets/461966.0
426,https://useblu.zendesk.com/agent/tickets/461967.0
430,https://useblu.zendesk.com/agent/tickets/461971.0
432,https://useblu.zendesk.com/agent/tickets/461973.0
435,https://useblu.zendesk.com/agent/tickets/461976.0
436,https://useblu.zendesk.com/agent/tickets/461977.0
441,https://useblu.zendesk.com/agent/tickets/471768.0
456,https://useblu.zendesk.com/agent/tickets/471851.0
462,https://useblu.zendesk.com/agent/tickets/471769.0
473,https://useblu.zendesk.com/agent/tickets/471782.0
474,https://useblu.zendesk.com/agent/tickets/471783.0
507,https://useblu.zendesk.com/agent/tickets/471821.0
510,https://useblu.zendesk.com/agent/tickets/471824.0
514,https://useblu.zendesk.com/agent/tickets/471829.0
527,https://useblu.zendesk.com/agent/tickets/471848.0
528,https://useblu.zendesk.com/agent/tickets/471849.0
