,zendesk_calls
15,https://useblu.zendesk.com/agent/tickets/431933
18,https://useblu.zendesk.com/agent/tickets/431935
22,https://useblu.zendesk.com/agent/tickets/431939
23,https://useblu.zendesk.com/agent/tickets/431940
24,https://useblu.zendesk.com/agent/tickets/431941
26,https://useblu.zendesk.com/agent/tickets/431943
27,https://useblu.zendesk.com/agent/tickets/431944
28,https://useblu.zendesk.com/agent/tickets/431945
29,https://useblu.zendesk.com/agent/tickets/431946
30,https://useblu.zendesk.com/agent/tickets/431947
37,https://useblu.zendesk.com/agent/tickets/455411
39,https://useblu.zendesk.com/agent/tickets/444712
54,https://useblu.zendesk.com/agent/tickets/467802
71,https://useblu.zendesk.com/agent/tickets/467822
84,https://useblu.zendesk.com/agent/tickets/444716
89,https://useblu.zendesk.com/agent/tickets/444721
90,https://useblu.zendesk.com/agent/tickets/444722
91,https://useblu.zendesk.com/agent/tickets/444723
92,https://useblu.zendesk.com/agent/tickets/444724
93,https://useblu.zendesk.com/agent/tickets/444725
94,https://useblu.zendesk.com/agent/tickets/444726
97,https://useblu.zendesk.com/agent/tickets/444729
104,https://useblu.zendesk.com/agent/tickets/444736
120,https://useblu.zendesk.com/agent/tickets/467843
135,https://useblu.zendesk.com/agent/tickets/467862
136,https://useblu.zendesk.com/agent/tickets/467863
144,https://useblu.zendesk.com/agent/tickets/433753
154,https://useblu.zendesk.com/agent/tickets/433765
156,https://useblu.zendesk.com/agent/tickets/433767
162,https://useblu.zendesk.com/agent/tickets/433773
172,https://useblu.zendesk.com/agent/tickets/435508
179,https://useblu.zendesk.com/agent/tickets/435515
189,https://useblu.zendesk.com/agent/tickets/435526
203,https://useblu.zendesk.com/agent/tickets/436893
207,https://useblu.zendesk.com/agent/tickets/436895
212,https://useblu.zendesk.com/agent/tickets/436901
213,https://useblu.zendesk.com/agent/tickets/451100
236,https://useblu.zendesk.com/agent/tickets/446826
238,https://useblu.zendesk.com/agent/tickets/446828
240,https://useblu.zendesk.com/agent/tickets/446830
241,https://useblu.zendesk.com/agent/tickets/446831
244,https://useblu.zendesk.com/agent/tickets/446834
264,https://useblu.zendesk.com/agent/tickets/446855
291,https://useblu.zendesk.com/agent/tickets/446883
296,https://useblu.zendesk.com/agent/tickets/446888
300,https://useblu.zendesk.com/agent/tickets/446892
302,https://useblu.zendesk.com/agent/tickets/446894
304,https://useblu.zendesk.com/agent/tickets/446896
307,https://useblu.zendesk.com/agent/tickets/446899
312,https://useblu.zendesk.com/agent/tickets/446904
313,https://useblu.zendesk.com/agent/tickets/446905
317,https://useblu.zendesk.com/agent/tickets/446909
333,https://useblu.zendesk.com/agent/tickets/446927
342,https://useblu.zendesk.com/agent/tickets/439213
345,https://useblu.zendesk.com/agent/tickets/446939
359,https://useblu.zendesk.com/agent/tickets/446953
362,https://useblu.zendesk.com/agent/tickets/446956
375,https://useblu.zendesk.com/agent/tickets/446969
377,https://useblu.zendesk.com/agent/tickets/446971
381,https://useblu.zendesk.com/agent/tickets/446975
392,https://useblu.zendesk.com/agent/tickets/447080
394,https://useblu.zendesk.com/agent/tickets/447118
399,https://useblu.zendesk.com/agent/tickets/447045
402,https://useblu.zendesk.com/agent/tickets/447048
403,https://useblu.zendesk.com/agent/tickets/447049
408,https://useblu.zendesk.com/agent/tickets/447054
409,https://useblu.zendesk.com/agent/tickets/447055
412,https://useblu.zendesk.com/agent/tickets/447059
418,https://useblu.zendesk.com/agent/tickets/447065
419,https://useblu.zendesk.com/agent/tickets/447066
424,https://useblu.zendesk.com/agent/tickets/447072
426,https://useblu.zendesk.com/agent/tickets/447074
428,https://useblu.zendesk.com/agent/tickets/447076
429,https://useblu.zendesk.com/agent/tickets/447077
432,https://useblu.zendesk.com/agent/tickets/447081
436,https://useblu.zendesk.com/agent/tickets/447085
441,https://useblu.zendesk.com/agent/tickets/447090
447,https://useblu.zendesk.com/agent/tickets/447096
456,https://useblu.zendesk.com/agent/tickets/447105
458,https://useblu.zendesk.com/agent/tickets/447107
460,https://useblu.zendesk.com/agent/tickets/447109
463,https://useblu.zendesk.com/agent/tickets/447112
466,https://useblu.zendesk.com/agent/tickets/447115
467,https://useblu.zendesk.com/agent/tickets/447116
468,https://useblu.zendesk.com/agent/tickets/447119
471,https://useblu.zendesk.com/agent/tickets/439156
476,https://useblu.zendesk.com/agent/tickets/439163
483,https://useblu.zendesk.com/agent/tickets/439170
484,https://useblu.zendesk.com/agent/tickets/439171
488,https://useblu.zendesk.com/agent/tickets/439175
489,https://useblu.zendesk.com/agent/tickets/439176
490,https://useblu.zendesk.com/agent/tickets/439177
491,https://useblu.zendesk.com/agent/tickets/439178
495,https://useblu.zendesk.com/agent/tickets/439182
496,https://useblu.zendesk.com/agent/tickets/439183
504,https://useblu.zendesk.com/agent/tickets/439192
506,https://useblu.zendesk.com/agent/tickets/439194
507,https://useblu.zendesk.com/agent/tickets/439195
509,https://useblu.zendesk.com/agent/tickets/439197
512,https://useblu.zendesk.com/agent/tickets/439200
515,https://useblu.zendesk.com/agent/tickets/439203
522,https://useblu.zendesk.com/agent/tickets/439211
523,https://useblu.zendesk.com/agent/tickets/439660
535,https://useblu.zendesk.com/agent/tickets/461248
551,https://useblu.zendesk.com/agent/tickets/441162
552,https://useblu.zendesk.com/agent/tickets/441163
553,https://useblu.zendesk.com/agent/tickets/441164
555,https://useblu.zendesk.com/agent/tickets/441166
557,https://useblu.zendesk.com/agent/tickets/441168
560,https://useblu.zendesk.com/agent/tickets/441171
564,https://useblu.zendesk.com/agent/tickets/441175
567,https://useblu.zendesk.com/agent/tickets/441178
569,https://useblu.zendesk.com/agent/tickets/441180
574,https://useblu.zendesk.com/agent/tickets/441185
577,https://useblu.zendesk.com/agent/tickets/441189
591,https://useblu.zendesk.com/agent/tickets/449166
594,https://useblu.zendesk.com/agent/tickets/449169
596,https://useblu.zendesk.com/agent/tickets/449172
598,https://useblu.zendesk.com/agent/tickets/449174
600,https://useblu.zendesk.com/agent/tickets/449176
604,https://useblu.zendesk.com/agent/tickets/449180
606,https://useblu.zendesk.com/agent/tickets/449182
607,https://useblu.zendesk.com/agent/tickets/449183
608,https://useblu.zendesk.com/agent/tickets/449184
610,https://useblu.zendesk.com/agent/tickets/449186
612,https://useblu.zendesk.com/agent/tickets/449188
618,https://useblu.zendesk.com/agent/tickets/449194
625,https://useblu.zendesk.com/agent/tickets/449202
634,https://useblu.zendesk.com/agent/tickets/449212
638,https://useblu.zendesk.com/agent/tickets/449216
661,https://useblu.zendesk.com/agent/tickets/443112
663,https://useblu.zendesk.com/agent/tickets/443114
668,https://useblu.zendesk.com/agent/tickets/443120
676,https://useblu.zendesk.com/agent/tickets/443129
678,https://useblu.zendesk.com/agent/tickets/443132
680,https://useblu.zendesk.com/agent/tickets/443134
681,https://useblu.zendesk.com/agent/tickets/443135
683,https://useblu.zendesk.com/agent/tickets/443137
684,https://useblu.zendesk.com/agent/tickets/443138
688,https://useblu.zendesk.com/agent/tickets/459448
689,https://useblu.zendesk.com/agent/tickets/461255
691,https://useblu.zendesk.com/agent/tickets/443165
693,https://useblu.zendesk.com/agent/tickets/443167
694,https://useblu.zendesk.com/agent/tickets/443169
695,https://useblu.zendesk.com/agent/tickets/443170
696,https://useblu.zendesk.com/agent/tickets/459296
704,https://useblu.zendesk.com/agent/tickets/459303
706,https://useblu.zendesk.com/agent/tickets/459305
707,https://useblu.zendesk.com/agent/tickets/459306
712,https://useblu.zendesk.com/agent/tickets/459312
713,https://useblu.zendesk.com/agent/tickets/459313
714,https://useblu.zendesk.com/agent/tickets/459314
716,https://useblu.zendesk.com/agent/tickets/459316
717,https://useblu.zendesk.com/agent/tickets/459317
719,https://useblu.zendesk.com/agent/tickets/459319
720,https://useblu.zendesk.com/agent/tickets/459320
722,https://useblu.zendesk.com/agent/tickets/459322
723,https://useblu.zendesk.com/agent/tickets/459323
732,https://useblu.zendesk.com/agent/tickets/459332
733,https://useblu.zendesk.com/agent/tickets/459333
736,https://useblu.zendesk.com/agent/tickets/459336
738,https://useblu.zendesk.com/agent/tickets/459338
744,https://useblu.zendesk.com/agent/tickets/459344
747,https://useblu.zendesk.com/agent/tickets/459348
752,https://useblu.zendesk.com/agent/tickets/459353
753,https://useblu.zendesk.com/agent/tickets/459354
756,https://useblu.zendesk.com/agent/tickets/459357
762,https://useblu.zendesk.com/agent/tickets/459363
764,https://useblu.zendesk.com/agent/tickets/461331
766,https://useblu.zendesk.com/agent/tickets/459366
767,https://useblu.zendesk.com/agent/tickets/459368
768,https://useblu.zendesk.com/agent/tickets/459369
769,https://useblu.zendesk.com/agent/tickets/459370
771,https://useblu.zendesk.com/agent/tickets/459372
774,https://useblu.zendesk.com/agent/tickets/459375
786,https://useblu.zendesk.com/agent/tickets/459389
789,https://useblu.zendesk.com/agent/tickets/459393
793,https://useblu.zendesk.com/agent/tickets/459398
795,https://useblu.zendesk.com/agent/tickets/459400
797,https://useblu.zendesk.com/agent/tickets/459402
802,https://useblu.zendesk.com/agent/tickets/459407
810,https://useblu.zendesk.com/agent/tickets/459416
817,https://useblu.zendesk.com/agent/tickets/459423
818,https://useblu.zendesk.com/agent/tickets/459424
819,https://useblu.zendesk.com/agent/tickets/459425
824,https://useblu.zendesk.com/agent/tickets/459430
825,https://useblu.zendesk.com/agent/tickets/459432
826,https://useblu.zendesk.com/agent/tickets/459433
829,https://useblu.zendesk.com/agent/tickets/459436
830,https://useblu.zendesk.com/agent/tickets/459437
838,https://useblu.zendesk.com/agent/tickets/459446
839,https://useblu.zendesk.com/agent/tickets/459447
841,https://useblu.zendesk.com/agent/tickets/461260
855,https://useblu.zendesk.com/agent/tickets/451122
856,https://useblu.zendesk.com/agent/tickets/451124
863,https://useblu.zendesk.com/agent/tickets/451132
873,https://useblu.zendesk.com/agent/tickets/451142
874,https://useblu.zendesk.com/agent/tickets/451144
875,https://useblu.zendesk.com/agent/tickets/451145
881,https://useblu.zendesk.com/agent/tickets/451152
885,https://useblu.zendesk.com/agent/tickets/451156
888,https://useblu.zendesk.com/agent/tickets/451159
891,https://useblu.zendesk.com/agent/tickets/451162
893,https://useblu.zendesk.com/agent/tickets/451164
898,https://useblu.zendesk.com/agent/tickets/451169
899,https://useblu.zendesk.com/agent/tickets/451170
904,https://useblu.zendesk.com/agent/tickets/451176
905,https://useblu.zendesk.com/agent/tickets/451177
908,https://useblu.zendesk.com/agent/tickets/451180
915,https://useblu.zendesk.com/agent/tickets/451188
916,https://useblu.zendesk.com/agent/tickets/451189
917,https://useblu.zendesk.com/agent/tickets/451190
920,https://useblu.zendesk.com/agent/tickets/451193
924,https://useblu.zendesk.com/agent/tickets/451197
925,https://useblu.zendesk.com/agent/tickets/451198
926,https://useblu.zendesk.com/agent/tickets/451199
928,https://useblu.zendesk.com/agent/tickets/451202
929,https://useblu.zendesk.com/agent/tickets/451203
934,https://useblu.zendesk.com/agent/tickets/451208
940,https://useblu.zendesk.com/agent/tickets/451214
941,https://useblu.zendesk.com/agent/tickets/451215
