,zendesk_calls
0,https://useblu.zendesk.com/agent/tickets/467784.0
6,https://useblu.zendesk.com/agent/tickets/437667.0
17,https://useblu.zendesk.com/agent/tickets/456583.0
24,https://useblu.zendesk.com/agent/tickets/444832.0
26,https://useblu.zendesk.com/agent/tickets/444857.0
30,https://useblu.zendesk.com/agent/tickets/444867.0
31,https://useblu.zendesk.com/agent/tickets/444870.0
33,https://useblu.zendesk.com/agent/tickets/444884.0
35,https://useblu.zendesk.com/agent/tickets/437553.0
36,https://useblu.zendesk.com/agent/tickets/463576.0
38,https://useblu.zendesk.com/agent/tickets/444899.0
39,https://useblu.zendesk.com/agent/tickets/444900.0
41,https://useblu.zendesk.com/agent/tickets/444918.0
50,https://useblu.zendesk.com/agent/tickets/444831.0
52,https://useblu.zendesk.com/agent/tickets/444834.0
61,https://useblu.zendesk.com/agent/tickets/444844.0
66,https://useblu.zendesk.com/agent/tickets/444848.0
69,https://useblu.zendesk.com/agent/tickets/444851.0
80,https://useblu.zendesk.com/agent/tickets/444865.0
82,https://useblu.zendesk.com/agent/tickets/444868.0
84,https://useblu.zendesk.com/agent/tickets/444871.0
92,https://useblu.zendesk.com/agent/tickets/444878.0
93,https://useblu.zendesk.com/agent/tickets/444879.0
95,https://useblu.zendesk.com/agent/tickets/444881.0
97,https://useblu.zendesk.com/agent/tickets/444883.0
99,https://useblu.zendesk.com/agent/tickets/444886.0
101,https://useblu.zendesk.com/agent/tickets/444888.0
105,https://useblu.zendesk.com/agent/tickets/444893.0
109,https://useblu.zendesk.com/agent/tickets/444896.0
111,https://useblu.zendesk.com/agent/tickets/444898.0
112,https://useblu.zendesk.com/agent/tickets/444901.0
122,https://useblu.zendesk.com/agent/tickets/444913.0
123,https://useblu.zendesk.com/agent/tickets/444914.0
130,https://useblu.zendesk.com/agent/tickets/444922.0
135,https://useblu.zendesk.com/agent/tickets/444929.0
139,https://useblu.zendesk.com/agent/tickets/444933.0
148,https://useblu.zendesk.com/agent/tickets/444944.0
151,https://useblu.zendesk.com/agent/tickets/444947.0
152,https://useblu.zendesk.com/agent/tickets/444949.0
154,https://useblu.zendesk.com/agent/tickets/444951.0
156,https://useblu.zendesk.com/agent/tickets/444953.0
159,https://useblu.zendesk.com/agent/tickets/444956.0
