,zendesk_calls
0,https://useblu.zendesk.com/agent/tickets/408373
2,https://useblu.zendesk.com/agent/tickets/408561
5,https://useblu.zendesk.com/agent/tickets/408565
8,https://useblu.zendesk.com/agent/tickets/425895
14,https://useblu.zendesk.com/agent/tickets/408647
16,https://useblu.zendesk.com/agent/tickets/408650
19,https://useblu.zendesk.com/agent/tickets/414224
20,https://useblu.zendesk.com/agent/tickets/408657
24,https://useblu.zendesk.com/agent/tickets/408667
25,https://useblu.zendesk.com/agent/tickets/408668
35,https://useblu.zendesk.com/agent/tickets/408662
42,https://useblu.zendesk.com/agent/tickets/427074
72,https://useblu.zendesk.com/agent/tickets/410648
75,https://useblu.zendesk.com/agent/tickets/410653
80,https://useblu.zendesk.com/agent/tickets/410669
94,https://useblu.zendesk.com/agent/tickets/410494
105,https://useblu.zendesk.com/agent/tickets/410506
107,https://useblu.zendesk.com/agent/tickets/410508
109,https://useblu.zendesk.com/agent/tickets/410509
128,https://useblu.zendesk.com/agent/tickets/410538
129,https://useblu.zendesk.com/agent/tickets/410539
133,https://useblu.zendesk.com/agent/tickets/410543
147,https://useblu.zendesk.com/agent/tickets/410563
152,https://useblu.zendesk.com/agent/tickets/410568
158,https://useblu.zendesk.com/agent/tickets/410578
165,https://useblu.zendesk.com/agent/tickets/410587
169,https://useblu.zendesk.com/agent/tickets/414473
172,https://useblu.zendesk.com/agent/tickets/414477
177,https://useblu.zendesk.com/agent/tickets/414482
179,https://useblu.zendesk.com/agent/tickets/414484
184,https://useblu.zendesk.com/agent/tickets/410592
191,https://useblu.zendesk.com/agent/tickets/410600
194,https://useblu.zendesk.com/agent/tickets/410605
198,https://useblu.zendesk.com/agent/tickets/410609
199,https://useblu.zendesk.com/agent/tickets/410610
202,https://useblu.zendesk.com/agent/tickets/410613
206,https://useblu.zendesk.com/agent/tickets/410617
210,https://useblu.zendesk.com/agent/tickets/410623
215,https://useblu.zendesk.com/agent/tickets/410628
225,https://useblu.zendesk.com/agent/tickets/410639
226,https://useblu.zendesk.com/agent/tickets/410640
228,https://useblu.zendesk.com/agent/tickets/410642
233,https://useblu.zendesk.com/agent/tickets/410644
236,https://useblu.zendesk.com/agent/tickets/410650
238,https://useblu.zendesk.com/agent/tickets/410654
241,https://useblu.zendesk.com/agent/tickets/410657
243,https://useblu.zendesk.com/agent/tickets/410659
244,https://useblu.zendesk.com/agent/tickets/410660
246,https://useblu.zendesk.com/agent/tickets/410662
250,https://useblu.zendesk.com/agent/tickets/414333
255,https://useblu.zendesk.com/agent/tickets/414338
257,https://useblu.zendesk.com/agent/tickets/414343
258,https://useblu.zendesk.com/agent/tickets/414344
262,https://useblu.zendesk.com/agent/tickets/414348
273,https://useblu.zendesk.com/agent/tickets/425825
280,https://useblu.zendesk.com/agent/tickets/410886
282,https://useblu.zendesk.com/agent/tickets/410894
289,https://useblu.zendesk.com/agent/tickets/410888
292,https://useblu.zendesk.com/agent/tickets/410891
293,https://useblu.zendesk.com/agent/tickets/410895
295,https://useblu.zendesk.com/agent/tickets/410897
296,https://useblu.zendesk.com/agent/tickets/410898
299,https://useblu.zendesk.com/agent/tickets/410901
303,https://useblu.zendesk.com/agent/tickets/410908
304,https://useblu.zendesk.com/agent/tickets/410909
305,https://useblu.zendesk.com/agent/tickets/425828
313,https://useblu.zendesk.com/agent/tickets/425856
317,https://useblu.zendesk.com/agent/tickets/410968
321,https://useblu.zendesk.com/agent/tickets/410947
324,https://useblu.zendesk.com/agent/tickets/410950
325,https://useblu.zendesk.com/agent/tickets/410951
326,https://useblu.zendesk.com/agent/tickets/410952
328,https://useblu.zendesk.com/agent/tickets/410954
331,https://useblu.zendesk.com/agent/tickets/410958
333,https://useblu.zendesk.com/agent/tickets/410960
337,https://useblu.zendesk.com/agent/tickets/410964
338,https://useblu.zendesk.com/agent/tickets/410965
339,https://useblu.zendesk.com/agent/tickets/410966
341,https://useblu.zendesk.com/agent/tickets/421772
350,https://useblu.zendesk.com/agent/tickets/421798
358,https://useblu.zendesk.com/agent/tickets/421848
361,https://useblu.zendesk.com/agent/tickets/421860
368,https://useblu.zendesk.com/agent/tickets/421887
372,https://useblu.zendesk.com/agent/tickets/415942
373,https://useblu.zendesk.com/agent/tickets/444661
375,https://useblu.zendesk.com/agent/tickets/415948
384,https://useblu.zendesk.com/agent/tickets/450662
389,https://useblu.zendesk.com/agent/tickets/429408
393,https://useblu.zendesk.com/agent/tickets/444697
397,https://useblu.zendesk.com/agent/tickets/415981
398,https://useblu.zendesk.com/agent/tickets/415985
411,https://useblu.zendesk.com/agent/tickets/412731
413,https://useblu.zendesk.com/agent/tickets/412739
416,https://useblu.zendesk.com/agent/tickets/412743
421,https://useblu.zendesk.com/agent/tickets/412773
422,https://useblu.zendesk.com/agent/tickets/412777
