,zendesk_calls
7,https://useblu.zendesk.com/agent/tickets/436940.0
14,https://useblu.zendesk.com/agent/tickets/436949.0
21,https://useblu.zendesk.com/agent/tickets/436960.0
25,https://useblu.zendesk.com/agent/tickets/433412.0
27,https://useblu.zendesk.com/agent/tickets/433416.0
38,https://useblu.zendesk.com/agent/tickets/433500.0
39,https://useblu.zendesk.com/agent/tickets/433501.0
40,https://useblu.zendesk.com/agent/tickets/433503.0
69,https://useblu.zendesk.com/agent/tickets/444785.0
87,https://useblu.zendesk.com/agent/tickets/436925.0
92,https://useblu.zendesk.com/agent/tickets/433409.0
97,https://useblu.zendesk.com/agent/tickets/433417.0
103,https://useblu.zendesk.com/agent/tickets/433425.0
105,https://useblu.zendesk.com/agent/tickets/433429.0
108,https://useblu.zendesk.com/agent/tickets/433432.0
112,https://useblu.zendesk.com/agent/tickets/433437.0
113,https://useblu.zendesk.com/agent/tickets/433438.0
132,https://useblu.zendesk.com/agent/tickets/433458.0
156,https://useblu.zendesk.com/agent/tickets/433488.0
159,https://useblu.zendesk.com/agent/tickets/433491.0
161,https://useblu.zendesk.com/agent/tickets/433493.0
172,https://useblu.zendesk.com/agent/tickets/433508.0
174,https://useblu.zendesk.com/agent/tickets/433513.0
177,https://useblu.zendesk.com/agent/tickets/433516.0
180,https://useblu.zendesk.com/agent/tickets/433519.0
181,https://useblu.zendesk.com/agent/tickets/433520.0
184,https://useblu.zendesk.com/agent/tickets/433525.0
187,https://useblu.zendesk.com/agent/tickets/433530.0
190,https://useblu.zendesk.com/agent/tickets/436955.0
198,https://useblu.zendesk.com/agent/tickets/436976.0
203,https://useblu.zendesk.com/agent/tickets/435445.0
207,https://useblu.zendesk.com/agent/tickets/435497.0
208,https://useblu.zendesk.com/agent/tickets/435498.0
216,https://useblu.zendesk.com/agent/tickets/436974.0
217,https://useblu.zendesk.com/agent/tickets/436978.0
224,https://useblu.zendesk.com/agent/tickets/435400.0
232,https://useblu.zendesk.com/agent/tickets/435409.0
235,https://useblu.zendesk.com/agent/tickets/435412.0
236,https://useblu.zendesk.com/agent/tickets/435413.0
244,https://useblu.zendesk.com/agent/tickets/435423.0
252,https://useblu.zendesk.com/agent/tickets/435432.0
259,https://useblu.zendesk.com/agent/tickets/435439.0
261,https://useblu.zendesk.com/agent/tickets/435441.0
277,https://useblu.zendesk.com/agent/tickets/435462.0
293,https://useblu.zendesk.com/agent/tickets/435479.0
297,https://useblu.zendesk.com/agent/tickets/435483.0
304,https://useblu.zendesk.com/agent/tickets/435490.0
318,https://useblu.zendesk.com/agent/tickets/436965.0
319,https://useblu.zendesk.com/agent/tickets/436966.0
337,https://useblu.zendesk.com/agent/tickets/439571.0
340,https://useblu.zendesk.com/agent/tickets/439602.0
346,https://useblu.zendesk.com/agent/tickets/439560.0
349,https://useblu.zendesk.com/agent/tickets/439564.0
350,https://useblu.zendesk.com/agent/tickets/439566.0
353,https://useblu.zendesk.com/agent/tickets/439572.0
366,https://useblu.zendesk.com/agent/tickets/439584.0
367,https://useblu.zendesk.com/agent/tickets/439585.0
369,https://useblu.zendesk.com/agent/tickets/439587.0
370,https://useblu.zendesk.com/agent/tickets/439588.0
372,https://useblu.zendesk.com/agent/tickets/439590.0
374,https://useblu.zendesk.com/agent/tickets/439592.0
375,https://useblu.zendesk.com/agent/tickets/439593.0
376,https://useblu.zendesk.com/agent/tickets/439594.0
378,https://useblu.zendesk.com/agent/tickets/439596.0
379,https://useblu.zendesk.com/agent/tickets/439597.0
380,https://useblu.zendesk.com/agent/tickets/439598.0
381,https://useblu.zendesk.com/agent/tickets/439599.0
395,https://useblu.zendesk.com/agent/tickets/441407.0
399,https://useblu.zendesk.com/agent/tickets/441384.0
401,https://useblu.zendesk.com/agent/tickets/441386.0
410,https://useblu.zendesk.com/agent/tickets/441390.0
414,https://useblu.zendesk.com/agent/tickets/441394.0
430,https://useblu.zendesk.com/agent/tickets/441412.0
434,https://useblu.zendesk.com/agent/tickets/441416.0
443,https://useblu.zendesk.com/agent/tickets/441425.0
445,https://useblu.zendesk.com/agent/tickets/441427.0
447,https://useblu.zendesk.com/agent/tickets/441431.0
449,https://useblu.zendesk.com/agent/tickets/441433.0
451,https://useblu.zendesk.com/agent/tickets/441436.0
458,https://useblu.zendesk.com/agent/tickets/449305.0
459,https://useblu.zendesk.com/agent/tickets/449310.0
463,https://useblu.zendesk.com/agent/tickets/449294.0
466,https://useblu.zendesk.com/agent/tickets/449297.0
470,https://useblu.zendesk.com/agent/tickets/449301.0
477,https://useblu.zendesk.com/agent/tickets/449309.0
479,https://useblu.zendesk.com/agent/tickets/443054.0
481,https://useblu.zendesk.com/agent/tickets/443057.0
490,https://useblu.zendesk.com/agent/tickets/443067.0
515,https://useblu.zendesk.com/agent/tickets/443097.0
528,https://useblu.zendesk.com/agent/tickets/451242.0
537,https://useblu.zendesk.com/agent/tickets/451252.0
540,https://useblu.zendesk.com/agent/tickets/451255.0
554,https://useblu.zendesk.com/agent/tickets/453289.0
561,https://useblu.zendesk.com/agent/tickets/453301.0
565,https://useblu.zendesk.com/agent/tickets/453310.0
582,https://useblu.zendesk.com/agent/tickets/454994.0
623,https://useblu.zendesk.com/agent/tickets/471943.0
626,https://useblu.zendesk.com/agent/tickets/471927.0
635,https://useblu.zendesk.com/agent/tickets/471936.0
636,https://useblu.zendesk.com/agent/tickets/471937.0
638,https://useblu.zendesk.com/agent/tickets/471939.0
642,https://useblu.zendesk.com/agent/tickets/471962.0
643,https://useblu.zendesk.com/agent/tickets/471963.0
647,https://useblu.zendesk.com/agent/tickets/471953.0
651,https://useblu.zendesk.com/agent/tickets/471959.0
653,https://useblu.zendesk.com/agent/tickets/471961.0
654,https://useblu.zendesk.com/agent/tickets/471965.0
656,https://useblu.zendesk.com/agent/tickets/471967.0
