,zendesk_calls
3,https://useblu.zendesk.com/agent/tickets/442848
10,https://useblu.zendesk.com/agent/tickets/431909
24,https://useblu.zendesk.com/agent/tickets/444824
39,https://useblu.zendesk.com/agent/tickets/444825
56,https://useblu.zendesk.com/agent/tickets/465554
59,https://useblu.zendesk.com/agent/tickets/441129
60,https://useblu.zendesk.com/agent/tickets/450566
62,https://useblu.zendesk.com/agent/tickets/450571
64,https://useblu.zendesk.com/agent/tickets/437104
65,https://useblu.zendesk.com/agent/tickets/437105
67,https://useblu.zendesk.com/agent/tickets/437107
82,https://useblu.zendesk.com/agent/tickets/450577
89,https://useblu.zendesk.com/agent/tickets/446652
95,https://useblu.zendesk.com/agent/tickets/446633
97,https://useblu.zendesk.com/agent/tickets/446635
99,https://useblu.zendesk.com/agent/tickets/446637
102,https://useblu.zendesk.com/agent/tickets/446642
103,https://useblu.zendesk.com/agent/tickets/446643
106,https://useblu.zendesk.com/agent/tickets/446646
108,https://useblu.zendesk.com/agent/tickets/446654
110,https://useblu.zendesk.com/agent/tickets/446656
118,https://useblu.zendesk.com/agent/tickets/437109
123,https://useblu.zendesk.com/agent/tickets/439137
129,https://useblu.zendesk.com/agent/tickets/443049
133,https://useblu.zendesk.com/agent/tickets/439143
143,https://useblu.zendesk.com/agent/tickets/450563
146,https://useblu.zendesk.com/agent/tickets/450567
150,https://useblu.zendesk.com/agent/tickets/449151
153,https://useblu.zendesk.com/agent/tickets/449154
156,https://useblu.zendesk.com/agent/tickets/441209
157,https://useblu.zendesk.com/agent/tickets/441213
159,https://useblu.zendesk.com/agent/tickets/441123
164,https://useblu.zendesk.com/agent/tickets/441211
165,https://useblu.zendesk.com/agent/tickets/441212
185,https://useblu.zendesk.com/agent/tickets/450573
187,https://useblu.zendesk.com/agent/tickets/459284
189,https://useblu.zendesk.com/agent/tickets/459286
199,https://useblu.zendesk.com/agent/tickets/450576
202,https://useblu.zendesk.com/agent/tickets/450562
204,https://useblu.zendesk.com/agent/tickets/450578
214,https://useblu.zendesk.com/agent/tickets/453123
218,https://useblu.zendesk.com/agent/tickets/453129
228,https://useblu.zendesk.com/agent/tickets/454952
231,https://useblu.zendesk.com/agent/tickets/454962
237,https://useblu.zendesk.com/agent/tickets/470388
241,https://useblu.zendesk.com/agent/tickets/470404
245,https://useblu.zendesk.com/agent/tickets/454951
246,https://useblu.zendesk.com/agent/tickets/454954
248,https://useblu.zendesk.com/agent/tickets/454958
249,https://useblu.zendesk.com/agent/tickets/454959
257,https://useblu.zendesk.com/agent/tickets/461230
263,https://useblu.zendesk.com/agent/tickets/461236
278,https://useblu.zendesk.com/agent/tickets/470402
279,https://useblu.zendesk.com/agent/tickets/456993
280,https://useblu.zendesk.com/agent/tickets/456994
290,https://useblu.zendesk.com/agent/tickets/463630
291,https://useblu.zendesk.com/agent/tickets/463631
301,https://useblu.zendesk.com/agent/tickets/465701
306,https://useblu.zendesk.com/agent/tickets/465697
