,zendesk_calls
25,https://useblu.zendesk.com/agent/tickets/459276
30,https://useblu.zendesk.com/agent/tickets/450978
33,https://useblu.zendesk.com/agent/tickets/450950
34,https://useblu.zendesk.com/agent/tickets/450951
35,https://useblu.zendesk.com/agent/tickets/450952
36,https://useblu.zendesk.com/agent/tickets/450953
39,https://useblu.zendesk.com/agent/tickets/450956
42,https://useblu.zendesk.com/agent/tickets/450959
43,https://useblu.zendesk.com/agent/tickets/450960
45,https://useblu.zendesk.com/agent/tickets/450962
49,https://useblu.zendesk.com/agent/tickets/450966
50,https://useblu.zendesk.com/agent/tickets/450967
52,https://useblu.zendesk.com/agent/tickets/450969
54,https://useblu.zendesk.com/agent/tickets/450971
59,https://useblu.zendesk.com/agent/tickets/450977
63,https://useblu.zendesk.com/agent/tickets/461461
74,https://useblu.zendesk.com/agent/tickets/452995
77,https://useblu.zendesk.com/agent/tickets/453001
106,https://useblu.zendesk.com/agent/tickets/456982
135,https://useblu.zendesk.com/agent/tickets/461449
157,https://useblu.zendesk.com/agent/tickets/465890
161,https://useblu.zendesk.com/agent/tickets/465897
